id,Session_Leader_first_Name,Session_Leader_last_Name,email,room_Number,session_Name,start-time,date
1,Ollie,Mathias,omathias0@exblog.jp,Male,"Murazik, Kuhn and Quigley",4:14 PM,7/30/2022
2,Elie,Dennington,edennington1@free.fr,Female,Hintz-Stroman,5:51 PM,10/3/2022
3,Gregorio,Smiz,gsmiz2@admin.ch,Male,"Kulas, Veum and Rolfson",4:08 PM,8/29/2022
4,Caryl,Creese,ccreese3@unblog.fr,Male,"Muller, Little and Lesch",5:15 PM,1/1/2023
5,Manuel,Hartopp,mhartopp4@usatoday.com,Male,Cummings Group,5:59 PM,9/4/2022
6,Baudoin,Dennis,bdennis5@adobe.com,Male,Parker-Parker,5:44 PM,5/13/2022
7,Franz,Earl,fearl6@twitter.com,Genderfluid,Vandervort and Sons,5:47 PM,5/1/2022
8,Nani,Shakelady,nshakelady7@imageshack.us,Female,"Russel, Dickens and Kuhn",4:35 PM,7/19/2022
9,Phil,Stoaks,pstoaks8@accuweather.com,Female,MacGyver-Kub,5:16 PM,1/29/2023
10,Maryjane,Iacovazzi,miacovazzi9@addtoany.com,Female,"McDermott, Kling and Bashirian",5:01 PM,11/1/2022
11,Siouxie,Sowden,ssowdena@fastcompany.com,Female,Heidenreich and Sons,4:43 PM,7/28/2022
12,Carny,Treffry,ctreffryb@clickbank.net,Male,Runte Inc,3:48 PM,8/12/2022
13,Stephan,Lindgren,slindgrenc@jigsy.com,Male,Flatley Group,4:35 PM,3/12/2023
14,Linda,Caron,lcarond@blogspot.com,Female,Watsica LLC,3:46 PM,9/24/2022
15,Kip,Lilburn,klilburne@google.pl,Male,Will-Schmitt,5:07 PM,7/7/2022
